TowID,Program,Year,Subregion,LatitudeStart,LongitudeStart,Date,TimeStartUTC,DayNight,TowDepth,Euphausia crystallorophias,Euphausia superba,Thysanoessa macrura,Themisto gaudichaudii,Salpa thompsoni,Limacina rangii,Gymnosomata
LTER_20032,LTER,1994,600,-64.57705,-65.32638333,1/17/94,12:04:00,Day,120,0,0.82616184,68.30855892,2.3470506,25.17915816,0,0
LTER_20041,LTER,1994,600,-64.82043333,-64.71821667,1/18/94,18:27:00,Day,130,0,17.33530214,36.47205822,0.47251256,22.14902313,0.79736488,0.0295321
LTER_20043,LTER,1994,600,-64.94068333,-64.10708333,1/19/94,11:10:00,Day,120,0,0.01950588,159.9479844,0.390117,30.37061124,0,0
LTER_20044,LTER,1994,600,-64.85966667,-63.96666667,1/19/94,13:45:00,Day,150,0,0.10030095,22.41725175,0,20.33600805,0.10030095,0
LTER_20046,LTER,1994,600,-64.79828333,-64.12906667,1/19/94,18:28:00,Day,50,0,0.05130835,2.43714725,0,1.3724987,0.141098,0
LTER_20047,LTER,1994,600,-64.70783333,-64.4835,1/20/94,9:10:00,Day,40,0,0.03016592,0.68627452,0.55052792,13.31825036,0.2714932,0.03016592
LTER_20048,LTER,1994,600,-64.68838333,-64.71756667,1/20/94,12:28:00,Day,110,0,2.37580992,5.39648252,0.11879054,14.32273986,0.98426416,0.03394017
LTER_20052,LTER,1994,600,-64.93645,-64.41486667,1/21/94,15:48:00,Day,140,0,0.05227782,173.6146378,0,0.10455564,0.02613898,0
LTER_20053,LTER,1994,600,-65.02565,-64.34138333,1/21/94,18:58:00,Day,160,0,21.68823168,14.2287944,0,44.23084816,0,0
LTER_20058,LTER,1994,600,-65.0593,-64.66578333,1/22/94,20:35:00,Day,125,0,1.005993125,58.54023975,0,8.561643875,0,0
LTER_20059,LTER,1994,600,-65.18381667,-64.65535,1/23/94,11:12:00,Day,150,4.28571435,11.72448975,0.8265306,0,0.3367347,0.09183675,0.0306123
LTER_20061,LTER,1994,600,-64.94016667,-63.70083333,1/25/94,11:51:00,Day,150,1.8785223,0.65748285,3.09956175,0,5.10331875,0,0.0939261
LTER_20062,LTER,1994,600,-65.06905,-63.9536,1/25/94,16:45:00,Day,135,86.41857033,0.165807,0.76271193,0,0,0,0.0994842
LTER_20068,LTER,1994,600,-65.28541667,-64.27483333,1/26/94,16:03:00,Day,60,1.4411415,4.38049938,0.01426872,0,0,0,0
LTER_20073,LTER,1994,500,-65.78021667,-65.0537,1/27/94,20:22:00,Day,145,2.47311826,3.19892475,1.478494675,0,0,0,0
LTER_20076,LTER,1994,400,-66.15521667,-66.32026667,1/28/94,19:57:00,Day,150,1.26814155,7.5665775,0.44384955,0,0,0,0.04227135
LTER_20081,LTER,1994,400,-66.5123,-67.38668333,1/29/94,18:35:00,Day,140,9.62371718,1.61915628,0.7297605,0,0.25085522,0.02280502,0
LTER_20082,LTER,1994,400,-66.5527,-67.55338333,1/29/94,22:18:00,Day,175,17.18628223,2.8984802,1.227591575,0,0,0,0
LTER_20085,LTER,1994,400,-66.23163333,-67.3994,1/31/94,10:14:00,Day,125,0.83979325,0.09689925,56.879845,0,1.71188625,0.03229975,0
LTER_20088,LTER,1994,400,-66.12523333,-67.6717,1/31/94,15:42:00,Day,170,13.64272899,0.12208261,0.36624783,0.03052061,4.70017955,0.03052061,0
LTER_20090,LTER,1994,400,-66.00415,-67.98311667,1/31/94,19:34:00,Day,125,0,11.30710088,4.164782125,0.018845125,0.037690375,0,0
LTER_20093,LTER,1994,400,-65.87171667,-68.29095,2/1/94,10:15:00,Day,150,0,0.1988511,0.7733097,0.02209455,0.5302695,0.02209455,0.02209455
LTER_20094,LTER,1994,400,-65.75451667,-68.5821,2/1/94,13:01:00,Day,125,0,6.31361625,8.354138625,0.4081045,6.121567125,0.024006125,0
LTER_20097,LTER,1994,400,-65.61775,-68.88825,2/1/94,18:50:00,Day,110,0,8.36707355,167.9964275,0.13099141,0.3438523,0.03274788,0
LTER_20098,LTER,1994,400,-65.48906667,-69.19585,2/2/94,9:09:00,Day,125,0,2.511275125,0.8456335,0.92250925,11.96699463,0.0512505,0.02562525
LTER_20101,LTER,1994,400,-65.37238333,-69.48426667,2/2/94,13:43:00,Day,110,0,0.62431347,3.38337604,0.48333945,1.12779205,3.12156724,0.14097402
LTER_20103,LTER,1994,400,-65.23391667,-69.78151667,2/2/94,18:56:00,Day,130,0,0.89608818,14.22540067,0.53765296,2.44184044,1.94899185,0.11201099
LTER_20109,LTER,1994,300,-66.10936667,-70.77303333,2/3/94,18:48:00,Day,150,0,0.70331445,27.3322554,0.24252225,0,0,0
LTER_20111,LTER,1994,300,-66.24051667,-70.47155,2/4/94,9:08:00,Day,120,0,1.18773324,40.63605384,2.92065552,0.03894204,0,0
LTER_20113,LTER,1994,300,-66.37048333,-70.15696667,2/4/94,13:49:00,Day,130,0,1.20992768,57.04584626,2.2630127,0,0,0
LTER_20115,LTER,1994,300,-66.507,-69.8335,2/4/94,18:44:00,Day,125,0,0.84503375,34.1046975,0.541688375,0,0.866701375,0.0216675
LTER_20117,LTER,1994,300,-66.63481667,-69.53791667,2/6/94,8:12:00,Day,120,0,0.0165198,5.76541848,0.0330396,1.37114544,0,0
LTER_20118,LTER,1994,300,-66.75961667,-69.25578333,2/6/94,11:13:00,Day,125,1.27328775,0.720412875,4.892105625,0.050261375,2.931912625,0,0
LTER_30006,LTER,1995,500,-65.4875,-66.162,1/8/95,12:01:00,Day,120,0.7832838,0.13622328,12.10116696,0,0,0.12487128,0.03405588
LTER_30009,LTER,1995,500,-65.35116667,-66.47133333,1/8/95,21:09:00,Day,120,8.24741688,0.99767136,54.83867088,0,0,3.68029896,0
LTER_30013,LTER,1995,500,-65.23366667,-66.74816667,1/9/95,6:06:00,Day,120,0,10.02304908,39.71939436,0,0,1.37404176,0.03195444
LTER_30017,LTER,1995,500,-64.99666667,-67.388,1/9/95,13:45:00,Day,120,0.02165964,0,21.65966964,0,0,1.99268964,0.02165964
LTER_30018,LTER,1995,500,-64.8705,-67.68633333,1/9/95,17:24:00,Day,120,0.6569226,0.21021516,3.90211992,0,0,2.56199796,0
LTER_30020,LTER,1995,500,-64.7475,-67.99483333,1/9/95,21:41:00,Day,120,0,0.17687964,2.31417516,0,0,3.87661188,0
LTER_30022,LTER,1995,500,-64.6165,-68.27433333,1/10/95,2:00:00,Day,110,0,0.05725885,0.45807113,4.59502626,0.02862948,4.82406177,0.01431474
LTER_30025,LTER,1995,600,-63.97416667,-66.84466667,1/10/95,10:39:00,Day,120,0,0,0.19181208,0,0.01475484,9.73815156,0.07377384
LTER_30026,LTER,1995,600,-64.09616667,-66.55233333,1/10/95,13:38:00,Day,120,0,0.019524,0.8004828,0,0,5.11527996,0.31238352
LTER_30028,LTER,1995,600,-64.22066667,-66.25716667,1/10/95,18:32:00,Day,120,0,4.68348408,40.1087796,0,0,6.06583392,0
LTER_30030,LTER,1995,600,-64.342,-65.9535,1/10/95,22:39:00,Day,120,0,2.87977296,6.15177312,0.05160888,0,1.20764676,0
LTER_30032,LTER,1995,600,-64.94566667,-64.40483333,1/11/95,8:21:00,Day,120,0,0.0358212,12.29384136,0.02149272,0,0.0716424,0
LTER_30034,LTER,1995,600,-64.69916667,-65.05383333,1/11/95,15:36:00,Day,120,0,0.03278064,40.68077232,0,0,0.54088056,0.01639032
LTER_30037,LTER,1995,600,-64.58266667,-65.306,1/11/95,20:49:00,Day,120,0,0.27936264,75.83298768,0,0,0.7682472,0
LTER_30039,LTER,1995,600,-64.46933333,-65.65016667,1/12/95,1:24:00,Day,120,0,0.3892722,0,0,0.25610016,2.4790494,0
LTER_30053,LTER,1995,600,-64.94383333,-63.7095,1/17/95,1:43:00,Day,120,5.9962776,0,14.26141692,0,0,0.11575824,0
LTER_30055,LTER,1995,600,-65.11483333,-64.00633333,1/17/95,11:36:00,Day,120,2.74079232,0.0165108,0.61089948,0,0,0,0.1155756
LTER_30058,LTER,1995,600,-65.1955,-64.12616667,1/17/95,17:14:00,Day,120,0,0.04307832,0.28718904,0,0,0.01435944,0.05743776
LTER_30062,LTER,1995,600,-65.26183333,-64.24033333,1/18/95,7:28:00,Day,120,3.07148592,0.07756284,0.46537668,0,0,0.10858788,0.03102516
LTER_30065,LTER,1995,600,-65.4875,-64.56166667,1/18/95,14:21:00,Day,120,0.02116932,0.08467704,1.68295632,0,0,0,0.010584
LTER_30067,LTER,1995,500,-65.621,-64.8555,1/18/95,18:51:00,Day,120,1.68034404,0.14002872,7.7015766,0,0,0.14002872,0.03500712
LTER_30081,LTER,1995,400,-65.29566667,-69.7735,1/26/95,7:09:00,Night,120,0,1.63626492,43.87671132,0.241619216,0.006048819,7.90969188,0.27334788
LTER_30083,LTER,1995,400,-65.37,-69.47033333,1/26/95,12:12:00,Day,120,0,0.65785284,19.67439072,0.22948356,0.01529892,6.19605612,0.15298908
LTER_30089,LTER,1995,400,-65.506,-69.21633333,1/26/95,16:16:00,Day,120,0,0.22992468,6.24628752,1.2645858,0,6.4953726,0.095802
LTER_30096,LTER,1995,400,-65.88083333,-68.2995,1/27/95,8:03:00,Day,120,0,0.04880976,17.0834232,0.09761952,0,7.51670616,0.13015944
LTER_30097,LTER,1995,400,-66.01616667,-67.965,1/27/95,11:28:00,Day,120,0.73863936,0.384708,37.31667492,0,0,3.6316434,0.12310656
LTER_30099,LTER,1995,400,-66.14083333,-67.64383333,1/27/95,15:02:00,Day,120,0.01975092,0.61227828,0.13825644,0.0987546,0,11.4555288,0.01975092
LTER_30106,LTER,1995,300,-66.90266667,-68.93583333,1/28/95,7:23:00,Day,120,0,0,26.69636568,0,0,4.80397332,0.0137256
LTER_30107,LTER,1995,300,-66.77983333,-69.23866667,1/28/95,11:42:00,Day,120,0.01679592,0.03359196,0.83979852,0.01679592,0,9.2377842,0.06718392
LTER_30111,LTER,1995,300,-66.50333333,-69.83733333,1/28/95,19:18:00,Day,120,0,0.16394172,0.16394172,0.0409854,0,6.29126292,0.0819708
LTER_30113,LTER,1995,300,-66.38383333,-70.155,1/29/95,0:17:00,Day,120,0,1.62362916,0.36448824,0.18776664,0,3.30248388,0.0220902
LTER_30115,LTER,1995,300,-66.25383333,-70.49366667,1/29/95,6:41:00,Night,120,0,0.05118576,22.5546324,0.809315748,0,0.63270792,0.08661012
LTER_30117,LTER,1995,300,-66.12166667,-70.771,1/29/95,11:56:00,Day,120,0,2.21921616,196.6388894,0.2586816,0.01361484,5.60930712,0.50374848
LTER_30119,LTER,1995,300,-65.9885,-71.05716667,1/29/95,15:52:00,Day,120,0,2.15543832,60.62170104,0.42541548,0.02836104,3.61603128,0.21270768
LTER_30125,LTER,1995,200,-66.44166667,-73.057,1/30/95,8:16:00,Day,120,0,1.46781756,166.0730718,0.83875284,0.03812508,4.53689064,1.6584432
LTER_30129,LTER,1995,200,-66.58716667,-72.76816667,1/30/95,14:47:00,Day,120,0,2.69146776,102.1970784,0.66106224,0,0.33053112,0
LTER_30137,LTER,1995,200,-66.99116667,-71.85266667,1/31/95,6:23:00,Night,120,0,0.12266808,27.11962464,0.139787178,0.065819415,0.80456856,0.03953592
LTER_30139,LTER,1995,200,-67.12183333,-71.59716667,1/31/95,11:48:00,Day,120,0,1.24358808,0.72208344,0.34098384,0,0.62179404,0.08023152
LTER_30141,LTER,1995,200,-67.23833333,-71.222,1/31/95,15:29:00,Day,120,0,11.1820278,0.06577668,0.52621308,0,0.80247492,0
LTER_30143,LTER,1995,200,-67.37333333,-70.899,1/31/95,20:03:00,Day,120,0.1305162,0.05593548,0,0.2610324,0,2.06961408,0.01864512
LTER_30146,LTER,1995,200,-67.49633333,-70.5905,2/1/95,0:56:00,Day,120,0.03128556,0.12514212,3.42576384,0.10949928,0,1.56427572,0.03128556
LTER_30147,LTER,1995,200,-67.635,-70.25183333,2/1/95,5:05:00,Night,120,6.50951784,0.20209284,0.31745592,0.04090787,0.038523328,2.60808588,0
LTER_30149,LTER,1995,200,-67.75716667,-69.92333333,2/1/95,10:54:00,Day,120,1.7690268,0.140121,0.61302912,0.05254536,0.2627268,2.04926868,0.07006044
LTER_30152,LTER,1995,400,-66.634,-67.44366667,2/2/95,16:58:00,Day,120,0.040209,0.040209,3.53838684,0,0,7.452057,0.040209
LTER_30153,LTER,1995,400,-66.55416667,-67.12966667,2/2/95,21:26:00,Day,120,0.008988,0,0.7463148,0.01798344,0,0.6743808,0.008988
LTER_30158,LTER,1995,400,-66.42316667,-66.94783333,2/3/95,8:37:00,Day,120,0.54797304,0.09327204,1.17755916,0.02331804,0,0.62958612,0.011664
LTER_30160,LTER,1995,400,-66.26966667,-66.59816667,2/3/95,13:26:00,Day,120,0,0.011076,0.06644484,0.02214828,0,0.02214828,0.011076
LTER_40006,LTER,1996,500,-65.48783333,-66.01783333,1/9/96,14:36:00,Day,120,48.20046852,7.81155852,17.5409772,0,0,4.04589684,0
LTER_40008,LTER,1996,500,-65.3685,-66.45366667,1/9/96,20:04:00,Day,110,0.16049605,44.90679941,27.45285224,0.10432246,0,4.2772202,0
LTER_40010,LTER,1996,500,-65.24833333,-66.7865,1/10/96,1:00:00,Day,120,3.19288332,214.590188,13.65723036,0.87476256,0,4.94240844,0
LTER_40012,LTER,1996,500,-65.12216667,-67.0925,1/10/96,5:37:00,Night,120,0.51077544,0.4699134,3.23312532,3.69315572,0,20.95892484,0.237057
LTER_40014,LTER,1996,500,-64.97866667,-67.37683333,1/10/96,20:14:00,Day,120,0,0.48978996,38.6501922,1.87272648,0,17.05621608,0.30251736
LTER_40016,LTER,1996,500,-64.85166667,-67.693,1/10/96,23:57:00,Day,120,0,0.5604486,10.28072868,1.96157004,0,40.94777448,0.35028036
LTER_40018,LTER,1996,500,-64.73833333,-68.0285,1/11/96,5:01:00,Night,120,0,0.615321,30.86728896,1.972106054,0.019969364,46.17675264,0.07197024
LTER_40020,LTER,1996,500,-64.61116667,-68.28466667,1/11/96,10:03:00,Day,140,0,8.04701352,77.07589652,12.72521404,0.07627508,10.43696374,0.38137512
LTER_40022,LTER,1996,500,-64.4475,-68.6555,1/11/96,17:18:00,Day,130,0,4.25666046,31.40978269,9.57488402,0,28.46446512,0.09366734
LTER_40023,LTER,1996,500,-64.36366667,-68.9915,1/11/96,19:16:00,Day,120,0,2.09288076,55.9045368,1.58812716,0,2.59147872,0.09848856
LTER_40024,LTER,1996,600,-63.71533333,-67.44416667,1/12/96,2:31:00,Day,120,0,3.53351784,11.767089,2.60435856,2.12282352,33.5921568,0.17633676
LTER_40025,LTER,1996,600,-63.82266667,-67.12466667,1/12/96,4:50:00,Night,120,0,1.28986104,22.29884292,0.461777652,0.118723689,44.70619524,0.23384364
LTER_40026,LTER,1996,600,-63.95633333,-66.8735,1/12/96,6:56:00,Day,120,0,0.91966056,10.81135896,3.67864236,0.03208116,19.89033396,0.10693728
LTER_40028,LTER,1996,600,-64.09516667,-66.54566667,1/12/96,16:00:00,Day,120,0,4.87628904,44.0692866,6.42208668,0,100.4768492,0
LTER_40030,LTER,1996,600,-64.20633333,-66.27633333,1/12/96,19:52:00,Day,120,0,3.43732764,61.9114062,0.6617844,0,8.27724288,0
LTER_40032,LTER,1996,600,-64.3285,-65.934,1/12/96,23:45:00,Day,120,0,1.94413272,50.7857022,7.32861792,0,10.84521096,0
LTER_40037,LTER,1996,600,-64.43466667,-65.6475,1/13/96,12:03:00,Day,120,0,0.12228288,83.41729416,2.89402776,0,2.40489636,0.2241852
LTER_40039,LTER,1996,600,-64.56483333,-65.34183333,1/13/96,15:48:00,Day,120,0,17.02183932,105.770812,1.6297506,0,3.74842632,0
LTER_40041,LTER,1996,600,-64.69183333,-65.0085,1/13/96,20:33:00,Day,125,0,1.737283,10.16146675,0.458905,0,2.3928615,0.032778875
LTER_40043,LTER,1996,600,-64.806,-64.70433333,1/14/96,0:20:00,Day,120,0.1433274,1.01921688,11.05213344,0.07962636,0,3.29652972,0.07962636
LTER_40046,LTER,1996,600,-64.93716667,-64.4195,1/16/96,0:00:00,Day,120,0,8.60640132,108.9434072,0,0,0.17042376,0
LTER_40059,LTER,1996,600,-64.84166667,-64.224,1/19/96,15:57:00,Day,117,0.082051398,0.914872374,5.046157233,0.168205284,0,0.635897808,0
LTER_40060,LTER,1996,600,-64.86833333,-64.417,1/19/96,19:21:00,Day,100,0,0.1814942,11.4436845,0.8979185,0,0.2483604,0.028657
LTER_40064,LTER,1996,600,-65.06083333,-63.92783333,1/21/96,12:18:00,Day,120,23.00798592,210.3455234,21.6754176,0,0,0,0
LTER_40066,LTER,1996,600,-65.17283333,-64.10483333,1/21/96,17:53:00,Day,120,13.8047946,165.3888101,1.41272652,0,0,0,0.08445648
LTER_40069,LTER,1996,600,-65.194,-64.09983333,1/21/96,22:59:00,Day,115,16.86604214,80.0987305,4.091761755,0,0,0,0
LTER_40073,LTER,1996,600,-65.28983333,-64.29433333,1/22/96,11:14:00,Day,95,3.361568255,0.806322095,2.32811313,0.022713265,0,0.13627978,0
LTER_40079,LTER,1996,600,-64.82083333,-63.86466667,1/23/96,22:09:00,Day,120,2.92519008,78.87004308,1.46259504,0.0786342,0,0.0235902,0
LTER_40080,LTER,1996,600,-64.87516667,-64.04883333,1/24/96,1:15:00,Day,120,0.304728,11.15304636,4.13414376,0.47740728,0,0.1218912,0.0609456
LTER_40081,LTER,1996,600,-64.85816667,-63.901,1/24/96,2:32:00,Night,130,0.03326713,1.13108047,5.5126006,0.074634763,0,0.59164599,0.06031116
LTER_40086,LTER,1996,400,-65.23983333,-69.7655,1/26/96,7:04:00,Night,120,0.13493844,3.50840052,36.97351632,1.162886071,0,13.42891848,0.048927
LTER_40088,LTER,1996,400,-65.38083333,-69.50583333,1/26/96,16:16:00,Day,120,0,1.7980524,44.01402852,0.23910276,0,20.95496232,0.01912824
LTER_40090,LTER,1996,400,-65.50466667,-69.2145,1/26/96,20:13:00,Day,120,0,1.57964976,108.8491498,0.33849636,0,26.31245124,0.04513284
LTER_40092,LTER,1996,400,-65.6345,-68.91666667,1/26/96,23:52:00,Day,120,0,1.04509284,0.81944784,6.0092838,0,0.62943096,0.02375208
LTER_40094,LTER,1996,400,-65.75966667,-68.60283333,1/27/96,3:27:00,Night,120,0,13.27583976,44.90044884,9.527301385,0,0.19111368,0
LTER_40096,LTER,1996,400,-65.87016667,-68.2965,1/27/96,6:33:00,Night,125,0.114646875,1.85982725,11.8731545,0.212300796,0,3.287407875,0.036950625
LTER_40098,LTER,1996,400,-65.985,-67.99833333,1/27/96,10:05:00,Day,120,0.41540124,3.64217832,3.15259836,0,0,6.30519672,0.059343
LTER_40100,LTER,1996,400,-66.13116667,-67.6685,1/27/96,15:01:00,Day,120,0.01353852,0.32492496,1.85478012,0,0,13.09176936,0.36554064
LTER_40109,LTER,1996,300,-66.77416667,-69.22333333,1/28/96,12:09:00,Day,120,0.23979996,0.25824612,11.6210748,0,0,22.19071908,1.05143064
LTER_40112,LTER,1996,300,-66.63616667,-69.53816667,1/28/96,17:19:00,Day,130,0,24.94656775,9.02215782,0,0,13.84469203,0.190892
LTER_40114,LTER,1996,300,-66.506,-69.84483333,1/28/96,21:27:00,Day,122,0,3.01630787,11.35369222,0.170150716,0,12.5138106,0.170150716
LTER_40116,LTER,1996,300,-66.37483333,-70.19266667,1/29/96,1:17:00,Day,120,0.45278976,6.08924196,30.8209326,0.45278976,0,13.97402976,0.10929408
LTER_40120,LTER,1996,300,-66.2555,-70.45733333,1/29/96,5:37:00,Night,120,0.25769928,10.94464164,19.05856716,0.204052601,0,16.60016316,0.04397112
LTER_40123,LTER,1996,300,-66.13,-70.75883333,1/29/96,10:20:00,Day,120,0,11.8952358,15.40375092,0.33715464,0,8.49208152,0
LTER_40125,LTER,1996,300,-65.99016667,-71.068,1/29/96,14:35:00,Day,120,0,2.84580372,110.4514214,0.72036636,0,12.01086108,0.04992636
LTER_40127,LTER,1996,300,-65.84533333,-71.3535,1/29/96,23:10:00,Day,120,0,1.70750412,24.20033976,1.73318088,0,0,0
LTER_40130,LTER,1996,200,-66.43766667,-73.00316667,1/30/96,7:13:00,Night,124,0.014377056,0.17252492,3.361267008,2.248633927,0,0,0.02085184
LTER_40132,LTER,1996,200,-66.58383333,-72.72483333,1/30/96,14:51:00,Day,120,0,1.78158228,2.88292404,1.26330384,0,0,0
LTER_40134,LTER,1996,200,-66.71383333,-72.40683333,1/30/96,18:42:00,Day,125,0,1.769410875,110.1849455,1.2879385,0,0,0.0120375
LTER_40136,LTER,1996,200,-66.85816667,-72.11866667,1/30/96,22:37:00,Day,170,0,1.63878572,42.44177024,3.27757127,0,0,0.02777596
LTER_40138,LTER,1996,200,-66.9865,-71.82133333,1/31/96,1:58:00,Day,120,0.13675872,0.48625308,51.40606488,1.54993164,0,10.84952124,0.13675872
LTER_40140,LTER,1996,200,-67.10816667,-71.5405,1/31/96,5:25:00,Night,120,0.15817824,0.14601072,52.88411592,0.30417709,0,12.7075518,0.22941372
LTER_40142,LTER,1996,200,-67.23966667,-71.24916667,1/31/96,9:46:00,Day,120,0.09533496,0.0529638,5.16926988,0.815643,0,8.87673804,0.06355656
LTER_40144,LTER,1996,200,-67.3705,-70.94016667,1/31/96,13:23:00,Day,120,0,0.17739564,41.12447724,0.09391536,0,17.3012898,0.1147854
LTER_40146,LTER,1996,200,-67.52016667,-70.58166667,1/31/96,18:15:00,Day,130,0.16378817,0.12284116,6.18300215,0,0,6.06016099,0.10236759
LTER_40148,LTER,1996,200,-67.6665,-70.27766667,1/31/96,21:58:00,Day,120,0,0.06824304,0.10918896,0,0,5.29566204,0.0409458
LTER_40152,LTER,1996,200,-67.743,-69.95833333,2/1/96,5:41:00,Night,120,0.25683,0.22719576,3.94937292,0,0,3.09494004,0.09312336
LTER_40162,LTER,1996,200,-68.068,-68.00916667,2/4/96,10:58:00,Day,120,9.72328908,3.48103188,1.68741552,0,0,0,0
LTER_40164,LTER,1996,200,-68.01866667,-67.84716667,2/4/96,17:29:00,Day,120,6.92724696,2.81535168,2.58073908,0,0,0.38278908,0
LTER_40167,LTER,1996,400,-66.14233333,-66.32983333,2/6/96,10:13:00,Day,120,13.7737818,0.86782788,15.74828916,0,0,0.98725368,0.02388516
LTER_40170,LTER,1996,400,-66.405,-66.934,2/7/96,8:09:00,Day,127,4.197607683,0.730757619,3.177945892,0.0084963,0,1.920363063,0.059480323
LTER_40173,LTER,1996,400,-66.29016667,-66.652,2/7/96,14:21:00,Day,120,0,0,0.70087752,0,0,0.3418914,0.0341892
LTER_50001,LTER,1997,500,-65.47477,-66.1544,1/12/97,9:30:00,Day,120,0.7469322,9.10190292,21.2235462,0.03201144,14.6718834,0.16005696,0.04268184
LTER_50005,LTER,1997,500,-65.24457,-66.8001,1/12/97,21:03:00,Day,125,0,32.8465555,13.52144513,0.06132175,2.873361875,1.195774,0.118263375
LTER_50009,LTER,1997,500,-64.99617,-67.40292,1/13/97,6:59:00,Day,120,0,33.74479068,3.19110936,0.04762848,3.7864656,9.50188536,0.14288544
LTER_50011,LTER,1997,500,-64.8708,-67.69285,1/13/97,11:54:00,Day,120,0,20.41141824,52.58903484,0.0761214,3.14272764,14.70231084,0.0761214
LTER_50013,LTER,1997,500,-64.7444,-68.00047,1/13/97,16:33:00,Day,123,0,5.482277034,32.18356205,0.068719362,0.755912859,20.70743069,0.297783861
LTER_50015,LTER,1997,500,-64.62698,-68.29652,1/14/97,0:23:00,Day,122,0,1.315763168,98.82165566,0.374687498,8.905363892,20.09370756,0.252696282
LTER_50017,LTER,1997,500,-64.49007,-68.61038,1/14/97,3:46:00,Night,122,0,0,0.501741592,0.307882239,8.212303644,10.39612813,0.222919864
LTER_50018,LTER,1997,500,-64.3626,-68.89477,1/14/97,5:39:00,Night,123,0,0.108000027,0.141768447,1.44609756,3.81677446,9.036157731,0.078318897
LTER_50019,LTER,1997,600,-64.93795,-64.42128,1/16/97,7:02:00,Day,125,0,46.40344388,15.85354563,0,9.512127375,1.4349195,0.04628775
LTER_50021,LTER,1997,600,-64.82783,-64.70943,1/16/97,14:02:00,Day,120,0,7.55188704,9.00615492,0,6.25220664,0.79583952,0.011448
LTER_50023,LTER,1997,600,-64.68873,-65.02067,1/16/97,18:08:00,Day,123,0,7.96160181,15.75934487,0.019277544,15.88464853,0.578324598,0.048193737
LTER_50025,LTER,1997,600,-64.58163,-65.36668,1/16/97,22:32:00,Day,120,0,4.13086776,132.1672831,1.28364156,2.1234708,1.63186344,0
LTER_50027,LTER,1997,600,-64.46328,-65.63883,1/17/97,6:12:00,Night,120,0,37.4397492,45.87717084,0.216025289,4.158744285,1.14476004,0.01136712
LTER_50029,LTER,1997,600,-64.3375,-65.97017,1/17/97,12:02:00,Day,120,0,4.97128188,36.19943784,2.97690336,17.99340096,10.9250886,0.05865816
LTER_50031,LTER,1997,600,-64.19913,-66.23942,1/17/97,16:31:00,Day,120,0,5.83966536,41.3489286,3.80090496,0.4405362,7.0895586,0.06147012
LTER_50033,LTER,1997,600,-64.09707,-66.56617,1/17/97,20:43:00,Day,122,0,2.086531596,80.35630662,0.19871726,0.012419844,23.74671684,0.29807589
LTER_50035,LTER,1997,600,-63.95442,-66.83705,1/18/97,2:30:00,Night,130,0,0.04961827,14.5982551,1.245710625,3.091649734,2.99782171,0
LTER_50037,LTER,1997,600,-63.83683,-67.13003,1/18/97,5:09:00,Night,137,0,0,2.911519616,0.691582118,6.32116391,11.54553677,0.187775625
LTER_50038,LTER,1997,600,-64.39405,-66.03945,1/18/97,15:11:00,Day,125,0,0.49744175,47.68334288,3.666856125,7.220011375,5.85559975,0.08527575
LTER_50039,LTER,1997,600,-64.92703,-64.1095,1/19/97,3:02:00,Night,121,0.14707187,0.481326021,8.587798703,0.008570267,1.248270037,0.344029136,0.029087069
LTER_50040,LTER,1997,600,-64.83193,-64.2053,1/19/97,4:19:00,Night,121,0.017129123,0,2.843745267,0,2.412606454,0.674089427,0.024843236
